exp_index,subject,condition,scenario,box_weight,contestant,strength,effort,resp,s1,s2,e1,e2
2a,46,lift,24,6,1,5,70,9,5,7,70,70
2a,46,lift,24,6,2,7,70,9,5,7,70,70
2a,46,lift,25,3,1,6,30,7,6,8,30,30
2a,46,lift,25,3,2,8,30,7,6,8,30,30
2a,46,lift,26,2,1,2,60,7,2,6,60,20
2a,46,lift,26,2,2,6,20,6,2,6,60,20
2a,46,lift,27,3,1,3,80,9,3,6,80,40
2a,46,lift,27,3,2,6,40,9,3,6,80,40
2a,46,lift,28,2,1,4,30,5,4,6,30,20
2a,46,lift,28,2,2,6,20,5,4,6,30,20
2a,46,lift,29,6,1,5,80,9,5,8,80,50
2a,46,lift,29,6,2,8,50,8,5,8,80,50
2a,46,lift,30,4,1,6,40,5,6,8,40,30
2a,46,lift,30,4,2,8,30,5,6,8,40,30
2a,47,fail,1,5,1,5,20,10,5,5,20,60
2a,47,fail,1,5,2,5,60,8,5,5,20,60
2a,47,fail,2,7,1,6,30,10,6,6,30,80
2a,47,fail,2,7,2,6,80,10,6,6,30,80
2a,47,fail,3,5,1,4,30,9,4,4,30,60
2a,47,fail,3,5,2,4,60,10,4,4,30,60
2a,47,fail,4,6,1,5,20,10,5,5,20,70
2a,47,fail,4,6,2,5,70,10,5,5,20,70
2a,47,fail,5,8,1,8,20,10,8,8,20,40
2a,47,fail,5,8,2,8,40,10,8,8,20,40
2a,47,fail,6,6,1,4,40,4,4,8,40,40
2a,47,fail,6,6,2,8,40,6,4,8,40,40
2a,47,fail,7,7,1,4,60,10,4,6,60,60
2a,47,fail,7,7,2,6,60,10,4,6,60,60
2a,47,fail,8,6,1,2,50,10,2,8,50,50
2a,47,fail,8,6,2,8,50,10,2,8,50,50
2a,47,fail,9,9,1,5,70,10,5,7,70,70
2a,47,fail,9,9,2,7,70,10,5,7,70,70
2a,47,fail,10,8,1,6,30,7,6,8,30,30
2a,47,fail,10,8,2,8,30,8,6,8,30,30
2a,47,fail,11,3,1,2,60,3,2,6,60,20
2a,47,fail,11,3,2,6,20,7,2,6,60,20
2a,47,fail,12,5,1,3,80,8,3,6,80,40
2a,47,fail,12,5,2,6,40,10,3,6,80,40
2a,47,fail,13,5,1,4,30,4,4,6,30,20
2a,47,fail,13,5,2,6,20,6,4,6,30,20
2a,47,fail,14,9,1,5,80,10,5,8,80,50
2a,47,fail,14,9,2,8,50,10,5,8,80,50
2a,47,fail,15,8,1,6,40,9,6,8,40,30
2a,47,fail,15,8,2,8,30,10,6,8,40,30
2a,47,lift,16,4,1,5,20,5,5,5,20,60
2a,47,lift,16,4,2,5,60,6,5,5,20,60
2a,47,lift,17,5,1,6,30,6,6,6,30,80
2a,47,lift,17,5,2,6,80,10,6,6,30,80
2a,47,lift,18,3,1,4,30,7,4,4,30,60
2a,47,lift,18,3,2,4,60,8,4,4,30,60
2a,47,lift,19,4,1,5,20,7,5,5,20,70
2a,47,lift,19,4,2,5,70,9,5,5,20,70
2a,47,lift,20,4,1,8,20,9,8,8,20,40
2a,47,lift,20,4,2,8,40,10,8,8,20,40
2a,47,lift,21,4,1,4,40,5,4,8,40,40
2a,47,lift,21,4,2,8,40,5,4,8,40,40
2a,47,lift,22,5,1,4,60,7,4,6,60,60
2a,47,lift,22,5,2,6,60,9,4,6,60,60
2a,47,lift,23,5,1,2,50,8,2,8,50,50
2a,47,lift,23,5,2,8,50,10,2,8,50,50
2a,47,lift,24,6,1,5,70,5,5,7,70,70
2a,47,lift,24,6,2,7,70,5,5,7,70,70
2a,47,lift,25,3,1,6,30,5,6,8,30,30
2a,47,lift,25,3,2,8,30,5,6,8,30,30
2a,47,lift,26,2,1,2,60,9,2,6,60,20
2a,47,lift,26,2,2,6,20,9,2,6,60,20
2a,47,lift,27,3,1,3,80,8,3,6,80,40
2a,47,lift,27,3,2,6,40,8,3,6,80,40
2a,47,lift,28,2,1,4,30,7,4,6,30,20
2a,47,lift,28,2,2,6,20,7,4,6,30,20
2a,47,lift,29,6,1,5,80,8,5,8,80,50
2a,47,lift,29,6,2,8,50,8,5,8,80,50
2a,47,lift,30,4,1,6,40,8,6,8,40,30
2a,47,lift,30,4,2,8,30,8,6,8,40,30
2a,48,fail,1,5,1,5,20,6,5,5,20,60
2a,48,fail,1,5,2,5,60,4,5,5,20,60
2a,48,fail,2,7,1,6,30,6,6,6,30,80
2a,48,fail,2,7,2,6,80,4,6,6,30,80
2a,48,fail,3,5,1,4,30,6,4,4,30,60
2a,48,fail,3,5,2,4,60,4,4,4,30,60
2a,48,fail,4,6,1,5,20,7,5,5,20,70
2a,48,fail,4,6,2,5,70,3,5,5,20,70
2a,48,fail,5,8,1,8,20,6,8,8,20,40
2a,48,fail,5,8,2,8,40,4,8,8,20,40
2a,48,fail,6,6,1,4,40,4,4,8,40,40
2a,48,fail,6,6,2,8,40,6,4,8,40,40
2a,48,fail,7,7,1,4,60,3,4,6,60,60
2a,48,fail,7,7,2,6,60,7,4,6,60,60
2a,48,fail,8,6,1,2,50,4,2,8,50,50
2a,48,fail,8,6,2,8,50,6,2,8,50,50
2a,48,fail,9,9,1,5,70,6,5,7,70,70
2a,48,fail,9,9,2,7,70,4,5,7,70,70
2a,48,fail,10,8,1,6,30,4,6,8,30,30
2a,48,fail,10,8,2,8,30,6,6,8,30,30
2a,48,fail,11,3,1,2,60,6,2,6,60,20
2a,48,fail,11,3,2,6,20,4,2,6,60,20
2a,48,fail,12,5,1,3,80,4,3,6,80,40
2a,48,fail,12,5,2,6,40,6,3,6,80,40
2a,48,fail,13,5,1,4,30,4,4,6,30,20
2a,48,fail,13,5,2,6,20,6,4,6,30,20
2a,48,fail,14,9,1,5,80,4,5,8,80,50
2a,48,fail,14,9,2,8,50,6,5,8,80,50
2a,48,fail,15,8,1,6,40,4,6,8,40,30
2a,48,fail,15,8,2,8,30,6,6,8,40,30
2a,48,lift,16,4,1,5,20,3,5,5,20,60
2a,48,lift,16,4,2,5,60,7,5,5,20,60
2a,48,lift,17,5,1,6,30,3,6,6,30,80
2a,48,lift,17,5,2,6,80,7,6,6,30,80
2a,48,lift,18,3,1,4,30,3,4,4,30,60
2a,48,lift,18,3,2,4,60,7,4,4,30,60
2a,48,lift,19,4,1,5,20,3,5,5,20,70
2a,48,lift,19,4,2,5,70,7,5,5,20,70
2a,48,lift,20,4,1,8,20,4,8,8,20,40
2a,48,lift,20,4,2,8,40,6,8,8,20,40
2a,48,lift,21,4,1,4,40,4,4,8,40,40
2a,48,lift,21,4,2,8,40,6,4,8,40,40
2a,48,lift,22,5,1,4,60,4,4,6,60,60
2a,48,lift,22,5,2,6,60,6,4,6,60,60
2a,48,lift,23,5,1,2,50,3,2,8,50,50
2a,48,lift,23,5,2,8,50,7,2,8,50,50
2a,48,lift,24,6,1,5,70,5,5,7,70,70
2a,48,lift,24,6,2,7,70,5,5,7,70,70
2a,48,lift,25,3,1,6,30,4,6,8,30,30
2a,48,lift,25,3,2,8,30,6,6,8,30,30
2a,48,lift,26,2,1,2,60,6,2,6,60,20
2a,48,lift,26,2,2,6,20,4,2,6,60,20
2a,48,lift,27,3,1,3,80,5,3,6,80,40
2a,48,lift,27,3,2,6,40,5,3,6,80,40
2a,48,lift,28,2,1,4,30,5,4,6,30,20
2a,48,lift,28,2,2,6,20,5,4,6,30,20
2a,48,lift,29,6,1,5,80,4,5,8,80,50
2a,48,lift,29,6,2,8,50,6,5,8,80,50
2a,48,lift,30,4,1,6,40,5,6,8,40,30
2a,48,lift,30,4,2,8,30,5,6,8,40,30
2a,49,fail,1,5,1,5,20,10,5,5,20,60
2a,49,fail,1,5,2,5,60,5,5,5,20,60
2a,49,fail,2,7,1,6,30,6,6,6,30,80
2a,49,fail,2,7,2,6,80,2,6,6,30,80
2a,49,fail,3,5,1,4,30,10,4,4,30,60
2a,49,fail,3,5,2,4,60,5,4,4,30,60
2a,49,fail,4,6,1,5,20,10,5,5,20,70
2a,49,fail,4,6,2,5,70,3,5,5,20,70
2a,49,fail,5,8,1,8,20,8,8,8,20,40
2a,49,fail,5,8,2,8,40,5,8,8,20,40
2a,49,fail,6,6,1,4,40,5,4,8,40,40
2a,49,fail,6,6,2,8,40,5,4,8,40,40
2a,49,fail,7,7,1,4,60,10,4,6,60,60
2a,49,fail,7,7,2,6,60,10,4,6,60,60
2a,49,fail,8,6,1,2,50,10,2,8,50,50
2a,49,fail,8,6,2,8,50,10,2,8,50,50
2a,49,fail,9,9,1,5,70,1,5,7,70,70
2a,49,fail,9,9,2,7,70,1,5,7,70,70
2a,49,fail,10,8,1,6,30,10,6,8,30,30
2a,49,fail,10,8,2,8,30,10,6,8,30,30
2a,49,fail,11,3,1,2,60,1,2,6,60,20
2a,49,fail,11,3,2,6,20,5,2,6,60,20
2a,49,fail,12,5,1,3,80,2,3,6,80,40
2a,49,fail,12,5,2,6,40,5,3,6,80,40
2a,49,fail,13,5,1,4,30,10,4,6,30,20
2a,49,fail,13,5,2,6,20,10,4,6,30,20
2a,49,fail,14,9,1,5,80,5,5,8,80,50
2a,49,fail,14,9,2,8,50,5,5,8,80,50
2a,49,fail,15,8,1,6,40,10,6,8,40,30
2a,49,fail,15,8,2,8,30,10,6,8,40,30
2a,49,lift,16,4,1,5,20,4,5,5,20,60
2a,49,lift,16,4,2,5,60,10,5,5,20,60
2a,49,lift,17,5,1,6,30,5,6,6,30,80
2a,49,lift,17,5,2,6,80,10,6,6,30,80
2a,49,lift,18,3,1,4,30,8,4,4,30,60
2a,49,lift,18,3,2,4,60,10,4,4,30,60
2a,49,lift,19,4,1,5,20,7,5,5,20,70
2a,49,lift,19,4,2,5,70,10,5,5,20,70
2a,49,lift,20,4,1,8,20,5,8,8,20,40
2a,49,lift,20,4,2,8,40,8,8,8,20,40
2a,49,lift,21,4,1,4,40,10,4,8,40,40
2a,49,lift,21,4,2,8,40,10,4,8,40,40
2a,49,lift,22,5,1,4,60,10,4,6,60,60
2a,49,lift,22,5,2,6,60,10,4,6,60,60
2a,49,lift,23,5,1,2,50,8,2,8,50,50
2a,49,lift,23,5,2,8,50,8,2,8,50,50
2a,49,lift,24,6,1,5,70,10,5,7,70,70
2a,49,lift,24,6,2,7,70,10,5,7,70,70
2a,49,lift,25,3,1,6,30,9,6,8,30,30
2a,49,lift,25,3,2,8,30,10,6,8,30,30
2a,49,lift,26,2,1,2,60,10,2,6,60,20
2a,49,lift,26,2,2,6,20,8,2,6,60,20
2a,49,lift,27,3,1,3,80,10,3,6,80,40
2a,49,lift,27,3,2,6,40,7,3,6,80,40
2a,49,lift,28,2,1,4,30,10,4,6,30,20
2a,49,lift,28,2,2,6,20,8,4,6,30,20
2a,49,lift,29,6,1,5,80,10,5,8,80,50
2a,49,lift,29,6,2,8,50,10,5,8,80,50
2a,49,lift,30,4,1,6,40,10,6,8,40,30
2a,49,lift,30,4,2,8,30,10,6,8,40,30
2a,50,fail,1,5,1,5,20,8,5,5,20,60
2a,50,fail,1,5,2,5,60,2,5,5,20,60
2a,50,fail,2,7,1,6,30,9,6,6,30,80
2a,50,fail,2,7,2,6,80,1,6,6,30,80
2a,50,fail,3,5,1,4,30,7,4,4,30,60
2a,50,fail,3,5,2,4,60,3,4,4,30,60
2a,50,fail,4,6,1,5,20,9,5,5,20,70
2a,50,fail,4,6,2,5,70,1,5,5,20,70
2a,50,fail,5,8,1,8,20,7,8,8,20,40
2a,50,fail,5,8,2,8,40,3,8,8,20,40
2a,50,fail,6,6,1,4,40,2,4,8,40,40
2a,50,fail,6,6,2,8,40,8,4,8,40,40
2a,50,fail,7,7,1,4,60,5,4,6,60,60
2a,50,fail,7,7,2,6,60,5,4,6,60,60
2a,50,fail,8,6,1,2,50,4,2,8,50,50
2a,50,fail,8,6,2,8,50,6,2,8,50,50
2a,50,fail,9,9,1,5,70,5,5,7,70,70
2a,50,fail,9,9,2,7,70,5,5,7,70,70
2a,50,fail,10,8,1,6,30,4,6,8,30,30
2a,50,fail,10,8,2,8,30,6,6,8,30,30
2a,50,fail,11,3,1,2,60,1,2,6,60,20
2a,50,fail,11,3,2,6,20,9,2,6,60,20
2a,50,fail,12,5,1,3,80,0,3,6,80,40
2a,50,fail,12,5,2,6,40,10,3,6,80,40
2a,50,fail,13,5,1,4,30,5,4,6,30,20
2a,50,fail,13,5,2,6,20,5,4,6,30,20
2a,50,fail,14,9,1,5,80,0,5,8,80,50
2a,50,fail,14,9,2,8,50,10,5,8,80,50
2a,50,fail,15,8,1,6,40,4,6,8,40,30
2a,50,fail,15,8,2,8,30,6,6,8,40,30
2a,50,lift,16,4,1,5,20,1,5,5,20,60
2a,50,lift,16,4,2,5,60,9,5,5,20,60
2a,50,lift,17,5,1,6,30,3,6,6,30,80
2a,50,lift,17,5,2,6,80,7,6,6,30,80
2a,50,lift,18,3,1,4,30,3,4,4,30,60
2a,50,lift,18,3,2,4,60,7,4,4,30,60
2a,50,lift,19,4,1,5,20,1,5,5,20,70
2a,50,lift,19,4,2,5,70,9,5,5,20,70
2a,50,lift,20,4,1,8,20,1,8,8,20,40
2a,50,lift,20,4,2,8,40,9,8,8,20,40
2a,50,lift,21,4,1,4,40,5,4,8,40,40
2a,50,lift,21,4,2,8,40,5,4,8,40,40
2a,50,lift,22,5,1,4,60,4,4,6,60,60
2a,50,lift,22,5,2,6,60,6,4,6,60,60
2a,50,lift,23,5,1,2,50,3,2,8,50,50
2a,50,lift,23,5,2,8,50,7,2,8,50,50
2a,50,lift,24,6,1,5,70,5,5,7,70,70
2a,50,lift,24,6,2,7,70,5,5,7,70,70
2a,50,lift,25,3,1,6,30,5,6,8,30,30
2a,50,lift,25,3,2,8,30,5,6,8,30,30
2a,50,lift,26,2,1,2,60,8,2,6,60,20
2a,50,lift,26,2,2,6,20,2,2,6,60,20
2a,50,lift,27,3,1,3,80,8,3,6,80,40
2a,50,lift,27,3,2,6,40,2,3,6,80,40
2a,50,lift,28,2,1,4,30,6,4,6,30,20
2a,50,lift,28,2,2,6,20,4,4,6,30,20
2a,50,lift,29,6,1,5,80,7,5,8,80,50
2a,50,lift,29,6,2,8,50,3,5,8,80,50
2a,50,lift,30,4,1,6,40,6,6,8,40,30
2a,50,lift,30,4,2,8,30,4,6,8,40,30
2a,51,fail,1,5,1,5,20,9,5,5,20,60
2a,51,fail,1,5,2,5,60,0,5,5,20,60
2a,51,fail,2,7,1,6,30,10,6,6,30,80
2a,51,fail,2,7,2,6,80,0,6,6,30,80
2a,51,fail,3,5,1,4,30,8,4,4,30,60
2a,51,fail,3,5,2,4,60,2,4,4,30,60
2a,51,fail,4,6,1,5,20,8,5,5,20,70
2a,51,fail,4,6,2,5,70,1,5,5,20,70
2a,51,fail,5,8,1,8,20,8,8,8,20,40
2a,51,fail,5,8,2,8,40,1,8,8,20,40
2a,51,fail,6,6,1,4,40,8,4,8,40,40
2a,51,fail,6,6,2,8,40,1,4,8,40,40
2a,51,fail,7,7,1,4,60,8,4,6,60,60
2a,51,fail,7,7,2,6,60,1,4,6,60,60
2a,51,fail,8,6,1,2,50,9,2,8,50,50
2a,51,fail,8,6,2,8,50,0,2,8,50,50
2a,51,fail,9,9,1,5,70,9,5,7,70,70
2a,51,fail,9,9,2,7,70,2,5,7,70,70
2a,51,fail,10,8,1,6,30,5,6,8,30,30
2a,51,fail,10,8,2,8,30,4,6,8,30,30
2a,51,fail,11,3,1,2,60,3,2,6,60,20
2a,51,fail,11,3,2,6,20,6,2,6,60,20
2a,51,fail,12,5,1,3,80,8,3,6,80,40
2a,51,fail,12,5,2,6,40,8,3,6,80,40
2a,51,fail,13,5,1,4,30,8,4,6,30,20
2a,51,fail,13,5,2,6,20,8,4,6,30,20
2a,51,fail,14,9,1,5,80,6,5,8,80,50
2a,51,fail,14,9,2,8,50,6,5,8,80,50
2a,51,fail,15,8,1,6,40,2,6,8,40,30
2a,51,fail,15,8,2,8,30,6,6,8,40,30
2a,51,lift,16,4,1,5,20,2,5,5,20,60
2a,51,lift,16,4,2,5,60,8,5,5,20,60
2a,51,lift,17,5,1,6,30,1,6,6,30,80
2a,51,lift,17,5,2,6,80,9,6,6,30,80
2a,51,lift,18,3,1,4,30,2,4,4,30,60
2a,51,lift,18,3,2,4,60,7,4,4,30,60
2a,51,lift,19,4,1,5,20,2,5,5,20,70
2a,51,lift,19,4,2,5,70,8,5,5,20,70
2a,51,lift,20,4,1,8,20,4,8,8,20,40
2a,51,lift,20,4,2,8,40,6,8,8,20,40
2a,51,lift,21,4,1,4,40,3,4,8,40,40
2a,51,lift,21,4,2,8,40,8,4,8,40,40
2a,51,lift,22,5,1,4,60,4,4,6,60,60
2a,51,lift,22,5,2,6,60,6,4,6,60,60
2a,51,lift,23,5,1,2,50,2,2,8,50,50
2a,51,lift,23,5,2,8,50,8,2,8,50,50
2a,51,lift,24,6,1,5,70,6,5,7,70,70
2a,51,lift,24,6,2,7,70,8,5,7,70,70
2a,51,lift,25,3,1,6,30,2,6,8,30,30
2a,51,lift,25,3,2,8,30,7,6,8,30,30
2a,51,lift,26,2,1,2,60,5,2,6,60,20
2a,51,lift,26,2,2,6,20,5,2,6,60,20
2a,51,lift,27,3,1,3,80,8,3,6,80,40
2a,51,lift,27,3,2,6,40,4,3,6,80,40
2a,51,lift,28,2,1,4,30,5,4,6,30,20
2a,51,lift,28,2,2,6,20,5,4,6,30,20
2a,51,lift,29,6,1,5,80,5,5,8,80,50
2a,51,lift,29,6,2,8,50,6,5,8,80,50
2a,51,lift,30,4,1,6,40,5,6,8,40,30
2a,51,lift,30,4,2,8,30,5,6,8,40,30
2a,52,fail,1,5,1,5,20,3,5,5,20,60
2a,52,fail,1,5,2,5,60,7,5,5,20,60
2a,52,fail,2,7,1,6,30,9,6,6,30,80
2a,52,fail,2,7,2,6,80,2,6,6,30,80
2a,52,fail,3,5,1,4,30,9,4,4,30,60
2a,52,fail,3,5,2,4,60,3,4,4,30,60
2a,52,fail,4,6,1,5,20,9,5,5,20,70
2a,52,fail,4,6,2,5,70,2,5,5,20,70
2a,52,fail,5,8,1,8,20,8,8,8,20,40
2a,52,fail,5,8,2,8,40,4,8,8,20,40
2a,52,fail,6,6,1,4,40,7,4,8,40,40
2a,52,fail,6,6,2,8,40,5,4,8,40,40
2a,52,fail,7,7,1,4,60,5,4,6,60,60
2a,52,fail,7,7,2,6,60,5,4,6,60,60
2a,52,fail,8,6,1,2,50,5,2,8,50,50
2a,52,fail,8,6,2,8,50,5,2,8,50,50
2a,52,fail,9,9,1,5,70,5,5,7,70,70
2a,52,fail,9,9,2,7,70,5,5,7,70,70
2a,52,fail,10,8,1,6,30,5,6,8,30,30
2a,52,fail,10,8,2,8,30,5,6,8,30,30
2a,52,fail,11,3,1,2,60,3,2,6,60,20
2a,52,fail,11,3,2,6,20,5,2,6,60,20
2a,52,fail,12,5,1,3,80,2,3,6,80,40
2a,52,fail,12,5,2,6,40,9,3,6,80,40
2a,52,fail,13,5,1,4,30,5,4,6,30,20
2a,52,fail,13,5,2,6,20,6,4,6,30,20
2a,52,fail,14,9,1,5,80,2,5,8,80,50
2a,52,fail,14,9,2,8,50,4,5,8,80,50
2a,52,fail,15,8,1,6,40,4,6,8,40,30
2a,52,fail,15,8,2,8,30,5,6,8,40,30
2a,52,lift,16,4,1,5,20,3,5,5,20,60
2a,52,lift,16,4,2,5,60,7,5,5,20,60
2a,52,lift,17,5,1,6,30,3,6,6,30,80
2a,52,lift,17,5,2,6,80,8,6,6,30,80
2a,52,lift,18,3,1,4,30,4,4,4,30,60
2a,52,lift,18,3,2,4,60,6,4,4,30,60
2a,52,lift,19,4,1,5,20,2,5,5,20,70
2a,52,lift,19,4,2,5,70,9,5,5,20,70
2a,52,lift,20,4,1,8,20,7,8,8,20,40
2a,52,lift,20,4,2,8,40,8,8,8,20,40
2a,52,lift,21,4,1,4,40,5,4,8,40,40
2a,52,lift,21,4,2,8,40,5,4,8,40,40
2a,52,lift,22,5,1,4,60,5,4,6,60,60
2a,52,lift,22,5,2,6,60,5,4,6,60,60
2a,52,lift,23,5,1,2,50,5,2,8,50,50
2a,52,lift,23,5,2,8,50,5,2,8,50,50
2a,52,lift,24,6,1,5,70,5,5,7,70,70
2a,52,lift,24,6,2,7,70,5,5,7,70,70
2a,52,lift,25,3,1,6,30,5,6,8,30,30
2a,52,lift,25,3,2,8,30,5,6,8,30,30
2a,52,lift,26,2,1,2,60,8,2,6,60,20
2a,52,lift,26,2,2,6,20,2,2,6,60,20
2a,52,lift,27,3,1,3,80,9,3,6,80,40
2a,52,lift,27,3,2,6,40,3,3,6,80,40
2a,52,lift,28,2,1,4,30,5,4,6,30,20
2a,52,lift,28,2,2,6,20,5,4,6,30,20
2a,52,lift,29,6,1,5,80,8,5,8,80,50
2a,52,lift,29,6,2,8,50,4,5,8,80,50
2a,52,lift,30,4,1,6,40,5,6,8,40,30
2a,52,lift,30,4,2,8,30,5,6,8,40,30
2a,53,fail,1,5,1,5,20,9,5,5,20,60
2a,53,fail,1,5,2,5,60,1,5,5,20,60
2a,53,fail,2,7,1,6,30,8,6,6,30,80
2a,53,fail,2,7,2,6,80,2,6,6,30,80
2a,53,fail,3,5,1,4,30,8,4,4,30,60
2a,53,fail,3,5,2,4,60,2,4,4,30,60
2a,53,fail,4,6,1,5,20,9,5,5,20,70
2a,53,fail,4,6,2,5,70,1,5,5,20,70
2a,53,fail,5,8,1,8,20,2,8,8,20,40
2a,53,fail,5,8,2,8,40,8,8,8,20,40
2a,53,fail,6,6,1,4,40,3,4,8,40,40
2a,53,fail,6,6,2,8,40,7,4,8,40,40
2a,53,fail,7,7,1,4,60,4,4,6,60,60
2a,53,fail,7,7,2,6,60,6,4,6,60,60
2a,53,fail,8,6,1,2,50,3,2,8,50,50
2a,53,fail,8,6,2,8,50,7,2,8,50,50
2a,53,fail,9,9,1,5,70,4,5,7,70,70
2a,53,fail,9,9,2,7,70,6,5,7,70,70
2a,53,fail,10,8,1,6,30,4,6,8,30,30
2a,53,fail,10,8,2,8,30,6,6,8,30,30
2a,53,fail,11,3,1,2,60,2,2,6,60,20
2a,53,fail,11,3,2,6,20,8,2,6,60,20
2a,53,fail,12,5,1,3,80,3,3,6,80,40
2a,53,fail,12,5,2,6,40,7,3,6,80,40
2a,53,fail,13,5,1,4,30,2,4,6,30,20
2a,53,fail,13,5,2,6,20,8,4,6,30,20
2a,53,fail,14,9,1,5,80,1,5,8,80,50
2a,53,fail,14,9,2,8,50,9,5,8,80,50
2a,53,fail,15,8,1,6,40,4,6,8,40,30
2a,53,fail,15,8,2,8,30,6,6,8,40,30
2a,53,lift,16,4,1,5,20,3,5,5,20,60
2a,53,lift,16,4,2,5,60,7,5,5,20,60
2a,53,lift,17,5,1,6,30,2,6,6,30,80
2a,53,lift,17,5,2,6,80,8,6,6,30,80
2a,53,lift,18,3,1,4,30,3,4,4,30,60
2a,53,lift,18,3,2,4,60,7,4,4,30,60
2a,53,lift,19,4,1,5,20,2,5,5,20,70
2a,53,lift,19,4,2,5,70,8,5,5,20,70
2a,53,lift,20,4,1,8,20,2,8,8,20,40
2a,53,lift,20,4,2,8,40,8,8,8,20,40
2a,53,lift,21,4,1,4,40,7,4,8,40,40
2a,53,lift,21,4,2,8,40,3,4,8,40,40
2a,53,lift,22,5,1,4,60,4,4,6,60,60
2a,53,lift,22,5,2,6,60,6,4,6,60,60
2a,53,lift,23,5,1,2,50,7,2,8,50,50
2a,53,lift,23,5,2,8,50,3,2,8,50,50
2a,53,lift,24,6,1,5,70,6,5,7,70,70
2a,53,lift,24,6,2,7,70,4,5,7,70,70
2a,53,lift,25,3,1,6,30,6,6,8,30,30
2a,53,lift,25,3,2,8,30,4,6,8,30,30
2a,53,lift,26,2,1,2,60,9,2,6,60,20
2a,53,lift,26,2,2,6,20,1,2,6,60,20
2a,53,lift,27,3,1,3,80,7,3,6,80,40
2a,53,lift,27,3,2,6,40,3,3,6,80,40
2a,53,lift,28,2,1,4,30,6,4,6,30,20
2a,53,lift,28,2,2,6,20,4,4,6,30,20
2a,53,lift,29,6,1,5,80,8,5,8,80,50
2a,53,lift,29,6,2,8,50,2,5,8,80,50
2a,53,lift,30,4,1,6,40,6,6,8,40,30
2a,53,lift,30,4,2,8,30,4,6,8,40,30
2a,54,fail,1,5,1,5,20,8,5,5,20,60
2a,54,fail,1,5,2,5,60,4,5,5,20,60
2a,54,fail,2,7,1,6,30,8,6,6,30,80
2a,54,fail,2,7,2,6,80,2,6,6,30,80
2a,54,fail,3,5,1,4,30,7,4,4,30,60
2a,54,fail,3,5,2,4,60,3,4,4,30,60
2a,54,fail,4,6,1,5,20,9,5,5,20,70
2a,54,fail,4,6,2,5,70,1,5,5,20,70
2a,54,fail,5,8,1,8,20,7,8,8,20,40
2a,54,fail,5,8,2,8,40,3,8,8,20,40
2a,54,fail,6,6,1,4,40,4,4,8,40,40
2a,54,fail,6,6,2,8,40,6,4,8,40,40
2a,54,fail,7,7,1,4,60,4,4,6,60,60
2a,54,fail,7,7,2,6,60,6,4,6,60,60
2a,54,fail,8,6,1,2,50,3,2,8,50,50
2a,54,fail,8,6,2,8,50,7,2,8,50,50
2a,54,fail,9,9,1,5,70,5,5,7,70,70
2a,54,fail,9,9,2,7,70,5,5,7,70,70
2a,54,fail,10,8,1,6,30,5,6,8,30,30
2a,54,fail,10,8,2,8,30,8,6,8,30,30
2a,54,fail,11,3,1,2,60,1,2,6,60,20
2a,54,fail,11,3,2,6,20,9,2,6,60,20
2a,54,fail,12,5,1,3,80,3,3,6,80,40
2a,54,fail,12,5,2,6,40,7,3,6,80,40
2a,54,fail,13,5,1,4,30,7,4,6,30,20
2a,54,fail,13,5,2,6,20,9,4,6,30,20
2a,54,fail,14,9,1,5,80,2,5,8,80,50
2a,54,fail,14,9,2,8,50,8,5,8,80,50
2a,54,fail,15,8,1,6,40,4,6,8,40,30
2a,54,fail,15,8,2,8,30,6,6,8,40,30
2a,54,lift,16,4,1,5,20,2,5,5,20,60
2a,54,lift,16,4,2,5,60,8,5,5,20,60
2a,54,lift,17,5,1,6,30,4,6,6,30,80
2a,54,lift,17,5,2,6,80,6,6,6,30,80
2a,54,lift,18,3,1,4,30,3,4,4,30,60
2a,54,lift,18,3,2,4,60,7,4,4,30,60
2a,54,lift,19,4,1,5,20,1,5,5,20,70
2a,54,lift,19,4,2,5,70,9,5,5,20,70
2a,54,lift,20,4,1,8,20,2,8,8,20,40
2a,54,lift,20,4,2,8,40,8,8,8,20,40
2a,54,lift,21,4,1,4,40,9,4,8,40,40
2a,54,lift,21,4,2,8,40,7,4,8,40,40
2a,54,lift,22,5,1,4,60,8,4,6,60,60
2a,54,lift,22,5,2,6,60,8,4,6,60,60
2a,54,lift,23,5,1,2,50,5,2,8,50,50
2a,54,lift,23,5,2,8,50,5,2,8,50,50
2a,54,lift,24,6,1,5,70,5,5,7,70,70
2a,54,lift,24,6,2,7,70,5,5,7,70,70
2a,54,lift,25,3,1,6,30,8,6,8,30,30
2a,54,lift,25,3,2,8,30,8,6,8,30,30
2a,54,lift,26,2,1,2,60,8,2,6,60,20
2a,54,lift,26,2,2,6,20,4,2,6,60,20
2a,54,lift,27,3,1,3,80,8,3,6,80,40
2a,54,lift,27,3,2,6,40,6,3,6,80,40
2a,54,lift,28,2,1,4,30,6,4,6,30,20
2a,54,lift,28,2,2,6,20,4,4,6,30,20
2a,54,lift,29,6,1,5,80,5,5,8,80,50
2a,54,lift,29,6,2,8,50,7,5,8,80,50
2a,54,lift,30,4,1,6,40,6,6,8,40,30
2a,54,lift,30,4,2,8,30,4,6,8,40,30
2a,55,fail,1,5,1,5,20,8,5,5,20,60
2a,55,fail,1,5,2,5,60,2,5,5,20,60
2a,55,fail,2,7,1,6,30,8,6,6,30,80
2a,55,fail,2,7,2,6,80,2,6,6,30,80
